 


  
  

NCAA Men's Soccer
Division IAssists Per Game
Through Games 12/12/2022


"Rank","Name","Team","Cl","Pos","Games","Assists","Per Game"
"","Schinieder Mimy","Oral Roberts","Jr.","D","14","6","0.43"
"53","Brandon Morales","Cornell","Sr.","M","19","8","0.42"
"54","Sean Karani","Temple","Jr.","F","12","5","0.42"
"55","Taylor Calheira","UMBC","Jr.","F","17","7","0.41"
"","Emeka Eneli","Cornell","Sr.","F","17","7","0.41"
"","Charlie Gaffney","Penn","So.","F","17","7","0.41"
"","Marko Isakovic","Harvard","So.","M","17","7","0.41"
"","Diba Nwegbo","William & Mary","Sr.","F","17","7","0.41"
"","Jackson Wrobel","Wofford","So.","M","17","7","0.41"
"61","Joshua Bolma","Maryland","So.","F","20","8","0.40"
"","Jason Bouregy","Rutgers","Jr.","M","20","8","0.40"
"","Kyoji Hata","Campbell","Jr.","M","20","8","0.40"
"","Lucas Meek","Washington","Sr.","M","20","8","0.40"
"","Nick Richardson","Maryland","Sr.","M","20","8","0.40"
"","Tommy Silva","UCLA","Jr.","D","20","8","0.40"
"67","Edrey Caceres","Marquette","So.","M","18","7","0.39"
"","Dyson Clapier","Akron","So.","M","18","7","0.39"
"","Will Echeverria","Lafayette","Sr.","M","18","7","0.39"
"","Billy Hency","Loyola Chicago","Sr.","M","18","7","0.39"
"","Demitrius Kigeya","Gonzaga","Sr.","F","18","7","0.39"
"","Stas Korzeniowski","Penn","So.","F","18","7","0.39"
"","Julian Madrigal","Cal St. Fullerton","So.","F","18","7","0.39"
"","Tyrese Spicer","Lipscomb","Jr.","F","18","7","0.39"
"","Ousmane Sylla","Clemson","Jr.","M","18","7","0.39"
"76","Mauricio Villalobos","UCF","Sr.","M","13","5","0.38"
"77","Marco Afonso","UNC Greensboro","Sr.","F","21","8","0.38"
"","Charlie Sharp","Western Mich.","Sr.","M","21","8","0.38"
"","Jackson Temple","Rutgers","Sr.","M","21","8","0.38"
"80","Sebastian Andreassen","Central Ark.","Sr.","F","16","6","0.38"
"","Tim Bielic","Wisconsin","Sr.","M","16","6","0.38"
"","Mike Eijgendaal","Temple","Sr.","F","16","6","0.38"
"","Shaun Joash","Grand Canyon","Sr.","F","16","6","0.38"
"","Kasper Lehm","Elon","Sr.","D","16","6","0.38"
"","Max Rogers","Yale","Fr.","M","16","6","0.38"
"","Alejandro Silva","Utah Valley","So.","M","16","6","0.38"
"","Callum Watts","Charlotte","So.","M","16","6","0.38"
"","Ryan Wittenbrink","Indiana","Sr.","F","24","9","0.38"
"89","Hayden Anderson","Memphis","Sr.","D","19","7","0.37"
"","Nate Dragisich","Duquesne","Jr.","M","19","7","0.37"
"","Justin Mclean","Georgia St.","Fr.","M","19","7","0.37"
"","Nick Pariano","Duke","Jr.","M","19","7","0.37"
"93","Jackson Castro","Creighton","So.","M","22","8","0.36"
"94","Mateo Godoy","Princeton","Sr.","M","14","5","0.36"
"95","Reed Berry","Oral Roberts","Sr.","M","17","6","0.35"
"","Yusuf Cueceoglu","UTRGV","Sr.","M","17","6","0.35"
"","Felipe D'Agostini","Oral Roberts","So.","M","17","6","0.35"
"","Parker McKnight","Binghamton","Sr.","M","17","6","0.35"
"","Andrew Nunez","Oral Roberts","Sr.","F","17","6","0.35"
"","Robert Winkler","LIU","So.","D","17","6","0.35"
"101","Brendan Clark","UC Riverside","Sr.","D","20","7","0.35"
"","Daniel Hernandez","Campbell","Sr.","F","20","7","0.35"
"","Mike Melaragni","Western Mich.","Sr.","F","20","7","0.35"
"","Anthony Samways","Ohio St.","So.","M","20","7","0.35"
"","Keegan Tingey","Stanford","Sr.","D","20","7","0.35"
"","Wan Kuzri Wan Kamal","Akron","So.","M","20","7","0.35"
"","Johann von Knebel","New Hampshire","Sr.","M","20","7","0.35"
"108","Alberto Anaya","Bowling Green","So.","F","12","4","0.33"
"","Reziq Banihani","Cal St. Fullerton","So.","F","18","6","0.33"
"","David Bercedo","Quinnipiac","Sr.","F","21","7","0.33"
"","Brandon Cambridge","Portland","So.","M","21","7","0.33"
"","Vinicius Fernandes","Marshall","Sr.","M","15","5","0.33"
"","Cooper Flax","Wake Forest","Fr.","M","15","5","0.33"
"","Lucas Gonzalez","UC Santa Barbara","So.","M","18","6","0.33"
"","Omar Grey","Washington","Sr.","D","18","6","0.33"
"","Bryan Iliohan","California Baptist","Sr.","F","21","7","0.33"
"","Angel Iniguez","San Jose St.","Fr.","M","15","5","0.33"
"","Jared Juleau","Marist","Jr.","M","15","5","0.33"
"","Mateo Leveque","UConn","So.","M","15","5","0.33"
"","Matt Lockwood","Western Mich.","Sr.","D","21","7","0.33"
"","Alejandro Lopez","Lipscomb","Sr.","F","18","6","0.33"
"","Oskar Magnusson","Dartmouth","Fr.","M","15","5","0.33"
"","Alex Meinhard","Tulsa","Jr.","F","15","5","0.33"
"","MD Myers","Rutgers","Sr.","F","21","7","0.33"
"","Terence Okoeguale","Akron","Fr.","F","15","5","0.33"
"","Jesper Schone Vogtengen","Siena","So.","D","18","6","0.33"
"","Dawsun Schrum","Oakland","Sr.","F","18","6","0.33"
"","Jason Shokalook","Akron","So.","F","18","6","0.33"
"","Dylan Sing","Western Mich.","Sr.","M","21","7","0.33"
"","Oliver Svalander","Hofstra","Jr.","F","21","7","0.33"
"","Marlon Tabora","Georgetown","Jr.","F","21","7","0.33"
"","Kyle Tucker","Drexel","Sr.","M","18","6","0.33"
"","Jansen Wilson","Belmont","Sr.","M","18","6","0.33"
"134","Nathan Opoku","Syracuse","So.","F","25","8","0.32"
"135","Raz Amir","Fairfield","Jr.","F","19","6","0.32"
"","Palmer Ault","Butler","Fr.","F","19","6","0.32"
"","Sebastian Cruz","Cal St. Fullerton","Jr.","M","19","6","0.32"
"","D'Alessandro Herrera","Houston Christian","Fr.","M","19","6","0.32"
"","Kevin Leonhard","FDU","So.","F","19","6","0.32"
"","Yushi Nagao","FIU","Sr.","M","19","6","0.32"
"","Chris Pinkham","New Hampshire","Sr.","F","19","6","0.32"
"","Scott Vatne","Elon","So.","M","19","6","0.32"
"143","Jakob Andersson","Wofford","Fr.","D","16","5","0.31"
"","Leonardo D'Ambrosio","Col. of Charleston","So.","M","16","5","0.31"
"","Curtis DeLeon","UAB","So.","M","16","5","0.31"
"","Ibrahima Diop","Marshall","Sr.","F","16","5","0.31"
"","Kotaro Hirokawa","Kansas City","Jr.","D","16","5","0.31"
"","Christian Koffi","Kansas City","Jr.","F","16","5","0.31"
"","Samy Kolby","Charlotte","Fr.","M","16","5","0.31"
