 


  
  

NCAA Men's Soccer
Division IGoals Per Game
Through Games 12/12/2022


"Rank","Name","Team","Cl","Pos","Games","Goals","Per Game"
"","Malachi Jones","Lipscomb","Fr.","F","17","7","0.41"
"","Conor Kelly","NC State","Sr.","M","17","7","0.41"
"","Antek Sienkiel","St. John's (NY)","Sr.","M","17","7","0.41"
"98","Jacob Babalai","Portland","So.","F","20","8","0.40"
"","Bryson Baker","Howard","So.","F","15","6","0.40"
"","Jonas Bickus","Stony Brook","So.","F","15","6","0.40"
"","Luke Eberle","Liberty","So.","M","15","6","0.40"
"","Lukas Hackaa","IUPUI","Jr.","M","20","8","0.40"
"","Jared Juleau","Marist","Jr.","M","15","6","0.40"
"","Andres Mata","Stetson","Fr.","M","15","6","0.40"
"","Marko Mitrevski","Liberty","Sr.","M","15","6","0.40"
"","Mathis Pilon St-Louis","Omaha","Fr.","F","15","6","0.40"
"","Kome Ubogu","Virginia","So.","F","15","6","0.40"
"108","Dyson Clapier","Akron","So.","M","18","7","0.39"
"","Adam Davie","LMU (CA)","Sr.","F","18","7","0.39"
"","Mason Duval","Elon","Sr.","F","18","7","0.39"
"","CJ Fodrey","San Diego St.","Fr.","F","18","7","0.39"
"","Billy Hency","Loyola Chicago","Sr.","M","18","7","0.39"
"","Quenzi Huerman","Seton Hall","Jr.","M","18","7","0.39"
"","Michael Ille","Mercer","Sr.","F","18","7","0.39"
"","Lukas Sunesson","Marquette","Sr.","F","18","7","0.39"
"116","Marco Afonso","UNC Greensboro","Sr.","F","21","8","0.38"
"","Luis Mueller","California Baptist","Jr.","F","21","8","0.38"
"","Daniel Nimick","Western Mich.","Sr.","D","21","8","0.38"
"119","Joey Akpunonu","Bowling Green","Jr.","D","16","6","0.38"
"","Walker Gillespie","Princeton","Jr.","F","16","6","0.38"
"","Ale Gutierrez","Harvard","Jr.","F","16","6","0.38"
"","Malik Henry-Scott","Tulsa","Jr.","F","16","6","0.38"
"","Timo Hummrich","Fordham","Sr.","D","16","6","0.38"
"","Filip Jauk","Charlotte","So.","F","16","6","0.38"
"","Kazuki Kimura","Kansas City","Sr.","M","16","6","0.38"
"","Luis Lara","Stetson","So.","F","16","6","0.38"
"","Kenji Mboma Dem","Omaha","Jr.","F","16","6","0.38"
"","Sam Pitts-Eckersall","UNC Asheville","Fr.","M","16","6","0.38"
"","Sam Robinson","Northern Ky.","Sr.","F","16","6","0.38"
"","Michele Signorelli","St. Francis Brooklyn","Jr.","F","16","6","0.38"
"131","Leo Afonso","Virginia","Jr.","F","19","7","0.37"
"","Simon Carlson","Georgia St.","Jr.","M","19","7","0.37"
"","DJ Hooks","Butler","Jr.","D","19","7","0.37"
"","Beau Leroux","San Jose St.","So.","M","19","7","0.37"
"","Elias Norris","George Washington","Sr.","M","19","7","0.37"
"","Jack Panayotou","Georgetown","Fr.","M","19","7","0.37"
"","Albert Portas","Cleveland St.","Jr.","M","19","7","0.37"
"","Joao Souza","Marshall","Sr.","M","19","7","0.37"
"139","Lewis Green","Missouri St.","Sr.","D","14","5","0.36"
"","Borna Miklic","UMass Lowell","Sr.","F","14","5","0.36"
"","Gio Rodriguez","Stetson","Jr.","M","14","5","0.36"
"","Sam Thornton","Drake","Sr.","F","14","5","0.36"
"","Alex Willis","Charlotte","Sr.","F","14","5","0.36"
"144","Shane Anderson","Oral Roberts","Jr.","M","17","6","0.35"
"","Omari Cotterell","La Salle","Sr.","F","17","6","0.35"
"","Manny Day","Dayton","Sr.","F","17","6","0.35"
"","Oscar Dueso","Loyola Chicago","Sr.","M","17","6","0.35"
"","Malcolm Johnston","Maryland","Sr.","M","17","6","0.35"
"","Aedon Kyra","FGCU","Sr.","F","17","6","0.35"
"","Emil Lindgren Pedersen","Milwaukee","Fr.","F","17","6","0.35"
"","Hale Lombard","Lafayette","Jr.","F","17","6","0.35"
"","Oscar Resano","South Fla.","Jr.","F","17","6","0.35"
"","Daniel Russo","Notre Dame","Jr.","F","17","6","0.35"
"","Danail Sergiev","Chicago St.","Fr.","F","17","6","0.35"
"","Martin Vician","Harvard","Sr.","F","17","6","0.35"
"","Jackson Wrobel","Wofford","So.","M","17","6","0.35"
Reclassifying
"NR","Juri  Schlingmann","Merrimack","Sr.","F","17","10","0.59"
"NR","Felipe Mendonca","Queens (NC)","Sr.","F","13","7","0.54"
"NR","Johan Feilscher","Merrimack","Sr.","F","17","7","0.41"
"NR","Jacob Woznicki","Stonehill","Jr.","F","17","7","0.41"


      <script type="text/javascript">
var gaJsHost = (("https:" == document.location.protocol) ? "https://ssl." : "http://www.");document.write(unescape("%3Cscript src='" + gaJsHost + "google-analytics.com/ga.js' type='text/javascript'%3E%3C/script%3E"));
</script>
<script type="text/javascript">
try {
var pageTracker = _gat._getTracker("UA-2045383-4");                        
pageTracker._trackPageview();                                              
} catch(err) {}
</script>

      
