 


  
  

NCAA Men's Soccer
Division IPoints Per Game
Through Games 12/12/2022

Goals x 2 + assists must equal points
       
"Rank","Name","Team","Cl","Pos","Games","Goals","Assists","Points","Per Game"
"83","Owen Zaldivar","Gardner-Webb","Sr.","F","14","7","1","15","1.07"
"84","Davi Alves","FGCU","Sr.","M","15","7","2","16","1.07"
"","Marko Mitrevski","Liberty","Sr.","M","15","6","4","16","1.07"
"","Ben Zakowski","Monmouth","Sr.","F","15","7","2","16","1.07"
"87","Willem Ebbinge","Harvard","Jr.","M","16","3","11","17","1.06"
"","Chris Elliott","Col. of Charleston","Fr.","F","16","8","1","17","1.06"
"","Logan Farrington","Milwaukee","So.","F","16","7","3","17","1.06"
"","Samory Powder","Detroit Mercy","Jr.","F","16","5","7","17","1.06"
"","Aymane Sordo","Gardner-Webb","Jr.","M","16","5","7","17","1.06"
"","Joshua Torres","UIC","So.","-","16","8","1","17","1.06"
"93","Alessandro Arlotti","Harvard","So.","F","17","5","8","18","1.06"
"","Jesus Salazar","Mount St. Mary's","Jr.","M","17","5","8","18","1.06"
"95","Shane de Flores","Stanford","So.","M","19","8","4","20","1.05"
"96","Brendan Clark","UC Riverside","Sr.","D","20","7","7","21","1.05"
"97","Noah Holmes","High Point","Sr.","F","21","11","0","22","1.05"
"","Luis Mueller","California Baptist","Jr.","F","21","8","6","22","1.05"
"","JC Ngando","UNC Greensboro","So.","M","21","4","14","22","1.05"
"100","Carlo Agostinelli","Stanford","Jr.","F","19","5","9","19","1.00"
"","Forster Ajago","Dayton","Sr.","F","17","7","3","17","1.00"
"","Jacob Babalai","Portland","So.","F","20","8","4","20","1.00"
"","Jonas Bickus","Stony Brook","So.","F","15","6","3","15","1.00"
"","Ryan Clare","Princeton","Sr.","D","16","7","2","16","1.00"
"","Omari Cotterell","La Salle","Sr.","F","17","6","5","17","1.00"
"","Ryan Crooks","West Virginia","Jr.","M","14","4","6","14","1.00"
"","CJ Fodrey","San Diego St.","Fr.","F","18","7","4","18","1.00"
"","Chase Gilley","Robert Morris","Jr.","F","16","7","2","16","1.00"
"","Oscar Haynes Brown","George Washington","Sr.","F","16","7","2","16","1.00"
"","Quenzi Huerman","Seton Hall","Jr.","M","18","7","4","18","1.00"
"","Bryan Iliohan","California Baptist","Sr.","F","21","7","7","21","1.00"
"","Malachi Jones","Lipscomb","Fr.","F","17","7","3","17","1.00"
"","Max Keenan","Wisconsin","Jr.","M","16","7","2","16","1.00"
"","Borna Miklic","UMass Lowell","Sr.","F","14","5","4","14","1.00"
"","Giorgio Probo","Creighton","So.","M","24","5","14","24","1.00"
"","Fredrik Skilberg","SMU","Fr.","F","16","7","2","16","1.00"
"","Alexander Stjernegaard","Quinnipiac","Fr.","D","21","4","13","21","1.00"
"","Oliver Svalander","Hofstra","Jr.","F","21","7","7","21","1.00"
"","Sam Thornton","Drake","Sr.","F","14","5","4","14","1.00"
"","Alex Willis","Charlotte","Sr.","F","14","5","4","14","1.00"
"","Hayes Wood","Lipscomb","Sr.","F","19","8","3","19","1.00"
"122","Owen O'Malley","Creighton","Jr.","M","23","8","6","22","0.96"
"123","Jackson Temple","Rutgers","Sr.","M","21","6","8","20","0.95"
"124","Eli Goldman","New Hampshire","Jr.","M","20","9","1","19","0.95"
"","John Klein","Saint Louis","Sr.","M","20","7","5","19","0.95"
"","Tyler Young","Campbell","Jr.","M","20","5","9","19","0.95"
"127","Leo Afonso","Virginia","Jr.","F","19","7","4","18","0.95"
"","Simon Carlson","Georgia St.","Jr.","M","19","7","4","18","0.95"
"","Albert Portas","Cleveland St.","Jr.","M","19","7","4","18","0.95"
"130","Marcos Kitromilides","Lafayette","Sr.","F","18","8","1","17","0.94"
